query_id,product_id,esci_label,relevance
13357,B00KQPTKNW,S,2
13357,B00T9Y84O2,I,0
13357,B00T9Y8TQA,S,2
13357,B00T9YBL6K,E,3
13357,B00TGZPG6S,I,0
13357,B00Y0Q1DLK,I,0
13357,B00YMSZDZS,S,2
13357,B00YMT0IKW,S,2
13357,B015FMZ4MQ,E,3
13357,B01B1JGLCO,S,2
13357,B01GHSQUZM,S,2
13357,B01MV80F5C,E,3
13357,B06WV791ZY,S,2
13357,B07BFFKCHC,S,2
13357,B07DBQNP1X,S,2
13357,B07KT89932,S,2
13357,B07S37RMMP,S,2
13357,B07S4CB9VT,S,2
13357,B07S946NHS,S,2
13357,B07WFHGLXP,S,2
13357,B087K4RPXS,I,0
13357,B087K9G4YP,S,2
13357,B087K9MB1B,E,3
13357,B087KBB8V4,I,0
13357,B087KBBHSM,S,2
13357,B08DTXGJJW,S,2
13357,B08JM5M345,S,2
13357,B08L81WGD7,I,0
13357,B08WJHF623,S,2
13357,B08ZNCRLDC,S,2
13357,B091BB18QV,S,2
13357,B0937C9GTY,S,2
13357,B093QP3335,S,2
13357,B0953QHV52,I,0
13357,B096W9CNHN,I,0
13357,B096ZLG8GF,S,2
13357,B096ZVCCPF,S,2
13357,B096ZZBBBK,I,0
13357,B099ZLJVVB,S,2
13357,B09BW133YW,S,2
18868,B001EYTW7S,I,0
18868,B00475B94U,E,3
18868,B06X9WSSLL,S,2
18868,B0714N7942,E,3
18868,B071GFDJSD,E,3
18868,B071P9Y9GD,I,0
18868,B071RN7FHT,E,3
18868,B072FRGG6S,I,0
18868,B075Z34PS8,I,0
18868,B076LXCCXR,I,0
18868,B079FTG3Z7,I,0
18868,B07G1DXKV2,E,3
18868,B07GN7XRQ9,S,2
18868,B07GQS1C7W,I,0
18868,B07H2Y8R6Y,E,3
18868,B07H97VGBP,E,3
28703,B07NL3Z842,S,2
28703,B07TCMJQTF,E,3
28703,B07XT5ZSJD,E,3
28703,B083B8L7Q9,S,2
28703,B083BM815K,E,3
28703,B085PCPNCV,S,2
28703,B087KFR855,E,3
28703,B08822GWJV,E,3
28703,B0883B57JC,E,3
28703,B0883BHSY5,E,3
28703,B089FYKC2P,S,2
28703,B089YT2VDN,S,2
28703,B08BZ58J1D,S,2
28703,B08BZ5SNTJ,S,2
28703,B08CS7D3RL,E,3
28703,B08CVR88WM,E,3
28703,B08FC69VMH,E,3
28703,B08GYFBKD4,E,3
28703,B08HZ3YBPH,E,3
28703,B08JZVBZ13,E,3
28703,B08L66P2D9,E,3
28703,B08M3LJX5H,E,3
28703,B08MCDPVCJ,E,3
28703,B08PFJVLGD,S,2
28703,B08PFJXSW5,E,3
28703,B08PFK1TTF,E,3
28703,B08PVGW98R,E,3
28703,B08RZ19NDS,E,3
28703,B08SWF4FZ2,E,3
28703,B08TP4PWBX,S,2
28703,B08TX2KN7L,E,3
28703,B08V213JPV,E,3
28703,B08V249BKY,S,2
28703,B08V54D9JP,E,3
28703,B08WRT63Z2,S,2
28703,B08Y5VXL32,E,3
28703,B094H63DFF,S,2
28703,B095KFLCLP,S,2
28703,B095LQ88G1,S,2
28703,B099KBZY98,I,0
31224,B000IHYS2Q,S,2
31224,B000KIX65S,S,2
31224,B006Q8VAL8,S,2
31224,B00BIFWNV0,S,2
31224,B00FWVM4RE,E,3
31224,B00W46KQ5W,S,2
31224,B012T29V06,S,2
31224,B019GL1854,E,3
31224,B01B98IYPY,S,2
31224,B01C672SZ4,S,2
31224,B01C672VK6,S,2
31224,B01LNNBP9W,E,3
31224,B01MU31H1P,E,3
31224,B07H9J1YXN,C,1
31224,B07HP6XKC6,E,3
31224,B07KQ1GFYD,S,2
33633,B07GSVQG2R,E,3
33633,B07GVNHRRR,I,0
33633,B07JZCTFYV,I,0
33633,B07M8Y1FMT,I,0
33633,B07M9C56KQ,I,0
33633,B07TFKMTJ8,S,2
